county_name,state_name,age_pct_65_older,age_pct_under_18,age_pct_under_5,edu_bachelors_pct,edu_hs_or_higher_pct,employment_nonemployer_estab,ethnicity_native_pct,ethnicity_asian_pct,ethnicity_black_pct,ethnicity_hispanic_pct,ethnicity_pacific_islander_pct,ethnicity_two_or_more_pct,ethnicity_white_pct,Ethnicities.White Alone	  not Hispanic or Latino,housing_homeownership_pct,housing_households,housing_units,housing_median_value,housing_persons_per_hh,income_median_household,income_per_capita,misc_foreign_born_pct,misc_land_area_sqmi,misc_lang_noneng_pct,misc_same_house_1yr_pct,misc_manuf_shipments,misc_mean_travel_time_min,misc_pct_female,misc_veterans,population_2020,population_2010,population_density,sales_food_services,sales_retail,firms_total,firms_women_owned,firms_men_owned,firms_minority_owned,firms_nonminority_owned,firms_veteran_owned,firms_nonveteran_owned,county_clean
Irion County,TX,21.4,22.5,5.5,15.0,93.2,197.0,1.2,0.5,1.2,25.6,-1.0,1.9,95.2,70.8,77.6,682,858.0,118300.0,2.38,47500,28487,3.4,1051.56,19.3,84.1,575658.0,22.6,49.2,97.0,1513,1599,1.5,33330.5,1620.0,192,61,46,0,177,0,148,Irion
Iron County,MI,31.2,16.8,4.3,18.5,91.1,756.0,1.6,0.5,0.4,2.4,0.0,1.7,95.8,93.9,80.8,5225,9344.0,77700.0,2.06,41599,25944,1.3,1166.15,2.4,92.4,729708.0,20.9,50.1,1094.0,11631,11817,10.1,12454.0,101627.0,1060,230,635,38,991,46,980,Iron
Iron County,MO,21.9,20.8,5.3,10.8,81.5,498.0,0.9,0.1,1.5,1.9,-1.0,1.8,95.7,94.1,70.8,4074,5307.0,83600.0,2.4,37435,21499,1.1,550.26,2.1,83.7,468824.0,29.7,50.1,810.0,9537,10630,19.3,4741.0,70838.0,881,195,504,0,826,73,707,Iron
Iron County,UT,12.9,28.4,7.4,29.8,92.9,4078.0,2.4,1.0,0.7,8.9,0.4,2.1,93.4,85.8,64.0,17015,22383.0,213600.0,2.97,51807,22909,4.0,3296.68,7.7,83.1,656449.0,17.0,50.1,2756.0,57289,46163,14.0,64345.0,567804.0,4260,1035,2070,250,3791,460,3427,Iron
Iron County,WI,32.1,15.1,3.1,20.0,94.5,507.0,1.6,0.4,0.3,1.4,-1.0,1.8,96.0,95.0,77.5,2898,6131.0,119000.0,1.92,43798,28857,1.2,758.17,2.8,85.8,1420674.0,22.0,49.6,581.0,6137,5916,7.8,60591.5,54263.0,678,181,448,0,649,153,508,Iron
Iroquois County,IL,22.0,21.6,5.6,15.9,89.5,1847.0,0.4,0.6,1.2,7.3,0.0,1.4,96.4,89.6,76.1,11741,13502.0,102800.0,2.33,52700,27574,3.2,1117.32,6.1,89.2,515157.0,23.8,50.8,1753.0,27077,29718,26.6,22533.0,287375.0,2174,702,1113,116,1990,149,1940,Iroquois
Irwin County,GA,18.0,20.8,5.3,15.1,81.5,636.0,0.2,0.9,27.8,3.9,0.0,1.2,69.9,66.8,73.6,3329,4104.0,79800.0,2.75,37736,19878,1.2,354.34,3.3,92.6,554410.0,23.0,47.2,553.0,9666,9538,26.9,2089.0,32344.0,630,276,303,105,507,70,519,Irwin
Isabella County,MI,13.2,17.4,4.7,29.1,91.5,3691.0,4.1,1.8,2.7,4.1,0.0,3.2,88.1,85.2,62.1,24739,29308.0,134900.0,2.59,45116,23888,3.2,572.68,5.9,72.8,616704.0,18.2,51.4,2998.0,64394,70311,122.8,447444.0,769882.0,5151,1348,3134,212,4754,633,4194,Isabella
Isanti County,MN,16.6,23.5,6.0,18.5,92.5,2639.0,0.6,1.2,1.0,2.2,0.1,1.9,95.2,93.3,82.5,14903,16482.0,196800.0,2.61,74616,34054,1.6,435.79,3.0,85.7,394828.0,35.6,49.5,2560.0,41135,37816,86.8,38159.0,482766.0,3476,893,1995,60,3302,255,2987,Isanti
Island County,WA,25.2,18.1,5.6,33.6,95.3,6157.0,1.1,5.1,3.2,8.2,0.5,4.9,85.2,78.5,71.5,34768,42650.0,358800.0,2.31,68604,37087,7.7,208.45,9.0,83.5,125716.0,28.4,50.2,11962.0,86857,78506,376.6,97825.5,456279.0,7083,2788,2966,520,6128,905,5639,Island
Isle of Wight County,VA,19.8,20.8,5.3,27.0,87.9,2375.0,0.5,1.0,23.2,3.4,0.1,2.5,72.7,70.2,75.8,14587,16025.0,266800.0,2.49,73991,37126,3.0,315.61,4.8,89.4,476138.5,30.2,51.0,3806.0,38606,35270,111.8,34065.0,246871.0,2621,792,1488,444,2030,520,1849,Isle of Wight
Issaquena County,MS,16.7,10.7,2.7,3.2,60.5,66.0,0.4,0.5,63.8,1.7,0.2,0.4,34.9,33.8,43.7,483,573.0,79200.0,2.19,24208,16388,0.0,413.05,0.6,81.6,483799.0,21.5,40.2,39.0,1338,1406,3.4,26152.0,188345.0,64,0,33,48,0,25,27,Issaquena
Itasca County,MN,24.1,20.7,5.3,23.1,94.0,2921.0,3.9,0.4,0.5,1.6,0.2,2.5,92.6,91.5,81.3,19506,27855.0,164100.0,2.25,55139,30286,1.1,2667.72,2.4,90.0,471870.0,23.3,49.4,3825.0,45014,45058,16.9,58876.0,568619.0,3873,937,2232,85,3589,460,3041,Itasca
Itawamba County,MS,18.0,21.5,5.6,13.2,79.1,1299.0,0.3,0.5,7.0,1.7,0.0,1.2,91.0,89.6,76.3,8653,10370.0,87600.0,2.59,44567,22806,0.3,532.79,1.4,89.3,930592.0,25.6,50.5,1300.0,23863,23401,43.9,17158.0,157061.0,1634,499,945,131,1445,191,1294,Itawamba
Izard County,AR,26.1,18.0,4.1,13.1,83.8,900.0,0.8,0.5,2.2,2.5,0.0,1.5,95.0,92.7,76.1,4851,7303.0,82700.0,2.6,42876,21164,1.1,580.58,3.0,85.4,602802.0,19.4,48.1,1392.0,13577,13696,23.6,17679.0,108729.0,988,166,542,25,928,153,694,Izard
