county_name,state_name,age_pct_65_older,age_pct_under_18,age_pct_under_5,edu_bachelors_pct,edu_hs_or_higher_pct,employment_nonemployer_estab,ethnicity_native_pct,ethnicity_asian_pct,ethnicity_black_pct,ethnicity_hispanic_pct,ethnicity_pacific_islander_pct,ethnicity_two_or_more_pct,ethnicity_white_pct,Ethnicities.White Alone	  not Hispanic or Latino,housing_homeownership_pct,housing_households,housing_units,housing_median_value,housing_persons_per_hh,income_median_household,income_per_capita,misc_foreign_born_pct,misc_land_area_sqmi,misc_lang_noneng_pct,misc_same_house_1yr_pct,misc_manuf_shipments,misc_mean_travel_time_min,misc_pct_female,misc_veterans,population_2020,population_2010,population_density,sales_food_services,sales_retail,firms_total,firms_women_owned,firms_men_owned,firms_minority_owned,firms_nonminority_owned,firms_veteran_owned,firms_nonveteran_owned,county_clean
Abbeville County,SC,22.4,19.8,4.7,15.6,81.7,1416.0,0.3,0.4,27.6,1.6,0.0,1.4,70.2,68.9,75.0,9660,12245.0,90800.0,2.46,38741,22646,1.8,490.48,2.8,90.4,598825.0,28.1,51.6,1559.0,24295,25417,51.8,12507.0,91371.0,1450,543,689,317,1080,187,1211,Abbeville
Acadia Parish,LA,15.8,25.8,6.9,13.3,79.0,4533.0,0.4,0.3,18.0,2.8,0.0,1.6,79.7,77.3,71.1,22236,26657.0,118000.0,2.76,43396,23122,1.3,655.12,10.0,89.8,1901186.0,28.9,51.1,2690.0,57576,61773,94.3,52706.0,602739.0,4664,1516,2629,705,3734,388,4007,Acadia
Accomack County,VA,24.6,20.7,5.6,19.5,81.5,2387.0,0.7,0.8,28.8,9.1,0.2,1.7,67.8,59.9,66.8,13438,21319.0,171800.0,2.35,46073,26018,7.7,449.5,11.5,93.0,667932.0,22.9,51.3,2606.0,33413,33164,73.8,53568.0,348195.0,2997,802,1716,335,2560,212,2536,Accomack
Ada County,ID,14.9,23.2,5.6,38.5,95.2,41464.0,0.8,2.7,1.4,8.5,0.2,3.0,91.9,84.3,69.3,173353,192630.0,270800.0,2.58,66293,34919,5.8,1052.58,8.7,83.7,172944.0,20.7,49.9,29924.0,494967,392365,372.8,763099.0,5766679.0,41789,14661,19409,3099,36701,3803,35132,Ada
Adair County,IA,23.0,21.8,5.6,18.5,94.2,609.0,0.3,0.5,0.6,2.5,0.0,1.2,97.4,95.1,74.3,3200,3718.0,104600.0,2.17,53363,30822,1.6,569.27,3.2,86.1,528536.5,25.1,50.2,492.0,7496,7682,13.5,20428.0,63002.0,914,304,499,0,861,185,679,Adair
Adair County,KY,19.2,19.9,5.2,15.7,79.6,1623.0,0.3,0.4,2.9,2.2,0.1,1.5,94.8,93.0,76.1,6977,8632.0,96400.0,2.56,38021,21196,1.6,405.28,2.6,89.0,153105.0,26.4,50.2,1104.0,18903,18656,46.0,35974.5,204296.0,1725,342,1076,78,1617,144,1484,Adair
Adair County,MO,15.1,17.9,5.2,31.0,90.1,1638.0,0.4,2.6,3.4,2.6,0.1,2.0,91.5,89.4,60.1,9258,11645.0,126800.0,2.45,41929,22847,4.1,567.32,5.9,75.1,282157.0,16.8,52.0,1176.0,25314,25607,45.1,22307.0,336233.0,2175,455,1335,59,1974,298,1655,Adair
Adair County,OK,15.8,27.0,7.4,11.6,80.8,1383.0,46.1,0.8,0.6,7.1,0.1,10.3,42.1,39.4,69.3,7733,9415.0,87600.0,2.86,34695,17026,1.8,573.48,8.3,90.2,485013.0,26.7,50.0,1268.0,19495,22683,39.6,7219.0,123351.0,1864,618,978,770,968,109,1722,Adair
Adams County,CO,10.7,26.1,6.9,24.3,83.8,36594.0,2.3,4.5,4.0,40.8,0.2,3.2,85.7,49.0,66.2,166450,178519.0,307600.0,3.0,71202,30313,15.3,1167.65,29.0,84.7,7311352.0,29.8,49.4,26796.0,519572,441603,378.2,705841.0,5548735.0,34447,12562,18398,10916,22016,3478,29493,Adams
Adams County,IA,23.7,20.9,5.3,15.6,93.8,345.0,0.5,0.7,0.5,1.4,0.0,0.8,97.4,96.1,81.7,1598,2012.0,87500.0,2.21,49255,28440,0.6,423.44,1.5,88.7,528536.5,21.3,50.1,272.0,3704,4029,9.5,20428.0,21326.0,284,64,157,0,261,37,210,Adams
Adams County,ID,29.9,17.3,3.9,21.2,90.2,361.0,1.4,0.9,0.4,3.6,0.4,2.6,94.3,91.6,80.3,1757,2705.0,215500.0,2.29,48856,28026,1.2,1363.06,3.5,81.6,172944.0,24.8,48.6,531.0,4379,3976,2.9,11378.5,111149.5,321,84,108,0,279,0,269,Adams
Adams County,IL,20.7,22.6,6.3,25.0,92.5,3922.0,0.3,0.9,3.9,1.8,0.0,2.1,92.8,91.4,71.8,27112,30244.0,127800.0,2.38,52993,30343,1.4,855.2,2.1,88.9,741144.5,17.3,50.7,4516.0,65737,67103,78.5,103212.0,1066523.0,5074,1251,2617,269,4546,477,4158,Adams
Adams County,IN,15.9,31.4,9.3,15.5,84.7,3294.0,0.3,0.4,0.6,4.5,0.0,0.9,97.8,93.6,77.1,12481,13403.0,129300.0,2.79,52504,23316,0.9,339.03,14.8,87.7,2200553.0,21.9,50.0,1430.0,35809,34387,101.4,27655.0,377228.0,3500,859,2081,100,3230,201,3134,Adams
Adams County,MS,19.6,19.9,5.7,17.4,77.9,2404.0,0.5,0.6,53.4,10.1,0.0,1.0,44.4,35.5,62.4,11237,14732.0,92100.0,2.56,29936,18386,8.0,462.41,9.1,92.3,155037.0,22.3,48.0,1486.0,29538,32297,69.8,89285.0,488747.0,3323,1127,1793,1097,2111,417,2724,Adams
Adams County,ND,28.5,19.3,5.3,25.6,94.5,181.0,0.7,2.8,0.9,1.6,0.0,1.8,93.7,92.2,73.5,1035,1442.0,121200.0,2.16,56681,33458,1.9,987.62,3.8,92.4,118152.0,14.6,50.5,136.0,2200,2343,2.4,8750.0,43133.0,333,134,130,0,312,0,308,Adams
Adams County,NE,18.9,23.4,6.4,24.3,90.0,2251.0,1.3,1.3,1.3,11.0,0.1,1.3,94.7,85.1,66.5,12712,13964.0,128500.0,2.35,53023,28729,6.2,563.27,8.6,84.9,1858945.0,16.8,50.2,1834.0,31205,31364,55.7,52979.0,453261.0,2921,825,1379,199,2567,321,2360,Adams
Adams County,OH,18.5,23.8,6.1,13.2,80.2,1790.0,0.6,0.4,0.5,1.0,0.0,1.5,97.1,96.2,70.8,10673,12952.0,105300.0,2.57,39079,22366,0.5,583.87,1.7,89.3,103671.0,36.6,50.4,1784.0,27477,28550,48.9,21405.0,224892.0,2248,669,1272,72,2134,207,1935,Adams
Adams County,PA,21.1,19.8,4.9,22.3,88.8,6697.0,0.4,0.9,2.0,7.3,0.0,1.5,95.1,88.7,78.0,39345,42756.0,205800.0,2.5,67253,31590,4.1,518.67,6.3,89.1,2148659.0,28.3,50.8,7792.0,103852,101407,195.5,185678.0,801241.0,7450,2403,4222,201,6988,850,6145,Adams
Adams County,WA,11.3,35.9,9.6,14.3,66.9,835.0,6.2,1.4,2.2,64.7,0.1,1.7,88.5,32.5,63.1,5973,6722.0,154500.0,3.24,48294,20248,24.5,1924.98,55.0,86.7,874205.0,18.6,48.9,544.0,20613,18728,9.7,18696.0,157812.0,1163,364,613,390,717,107,986,Adams
Adams County,WI,30.2,14.1,3.4,13.9,87.5,1139.0,1.2,0.6,2.9,4.2,0.0,1.4,93.8,90.3,83.3,9062,17887.0,131100.0,2.09,46369,27241,2.9,645.65,4.9,87.9,1420674.0,27.9,46.8,1940.0,20654,20875,32.3,55091.0,192300.0,1155,341,697,42,1089,216,846,Adams
Addison County,VT,20.7,16.5,4.2,39.6,93.5,3927.0,0.3,1.8,1.3,2.3,0.0,2.0,94.5,92.6,76.0,14584,17688.0,249700.0,2.32,68825,34741,4.8,766.33,6.0,86.7,442582.0,25.0,50.1,2038.0,37363,36821,48.0,55198.0,536912.0,4838,1390,2444,106,4537,375,4156,Addison
Aiken County,SC,19.9,21.4,5.7,26.4,88.0,11212.0,0.6,1.2,25.3,5.9,0.1,2.2,70.7,65.8,72.6,67598,78520.0,147300.0,2.45,51399,28396,4.5,1071.03,6.4,88.0,4639337.0,25.0,51.7,13195.0,168808,160099,149.5,65913.0,1749453.0,12138,4430,6598,2491,9200,1750,9711,Aiken
Aitkin County,MN,33.8,16.5,3.7,18.1,91.2,1132.0,2.7,0.3,0.6,1.4,0.0,1.6,94.8,93.8,82.2,7681,17033.0,183200.0,2.03,49351,29275,1.2,1821.66,2.7,91.3,62065.0,27.8,49.5,1743.0,15697,16202,8.9,18806.0,173292.0,1445,274,700,0,1315,132,1187,Aitkin
Alachua County,FL,14.6,17.9,5.1,43.3,92.6,19727.0,0.4,6.2,20.6,10.5,0.1,2.9,69.9,60.6,55.0,97995,120226.0,186700.0,2.55,49689,28646,10.5,875.02,14.2,77.9,778359.5,22.4,51.8,15162.0,278468,247336,282.7,222146.0,3208691.0,20110,7177,10330,4816,14333,2217,16761,Alachua
Alamance County,NC,17.1,22.0,5.9,24.8,86.3,10616.0,1.5,1.7,20.9,13.1,0.1,2.3,73.6,62.9,65.2,64439,72827.0,154800.0,2.46,49688,27312,7.9,423.94,12.6,85.9,3138351.0,24.2,52.5,9184.0,171415,151131,356.5,254425.0,2108413.0,10990,3804,5939,2283,8295,1203,9138,Alamance
Alameda County,CA,14.3,20.3,5.7,47.4,88.4,150445.0,1.1,32.3,11.0,22.3,0.9,5.4,49.3,30.6,53.5,577177,622922.0,769300.0,2.82,99406,47314,32.5,739.02,45.6,87.2,2696230.0,34.3,50.7,48602.0,1682353,1510271,2043.6,3192420.0,20901014.0,150564,57305,76387,75026,69300,10213,134032,Alameda
Alamosa County,CO,13.9,24.2,6.3,25.0,86.9,1163.0,5.5,1.7,1.8,47.6,0.3,3.2,87.5,47.1,57.8,6162,7160.0,157500.0,2.44,37515,22131,9.1,722.64,30.1,82.1,13832.0,14.6,50.1,791.0,16376,15445,21.4,35395.0,280686.0,1674,540,807,512,1043,80,1490,Alamosa
Albany County,NY,17.4,18.3,5.0,41.8,92.1,19516.0,0.3,6.8,14.1,6.3,0.1,2.9,75.8,71.6,56.4,126540,142892.0,222500.0,2.29,66252,37635,10.9,522.8,13.2,84.9,3547362.0,20.9,51.6,14955.0,314848,304204,581.9,866586.0,5762775.0,23912,7125,14508,3223,19297,2019,20224,Albany
Albany County,WY,12.2,16.1,4.5,51.8,95.9,2732.0,1.1,3.9,2.0,9.7,0.1,2.6,90.3,81.9,51.0,15944,19540.0,235000.0,2.26,49322,29146,7.3,4273.84,10.8,67.4,102299.0,12.7,48.2,2325.0,37066,36299,8.5,79553.0,479554.0,3396,1250,1465,280,2870,229,2811,Albany
Albemarle County,VA,19.3,19.7,5.2,55.1,92.1,9931.0,0.4,5.5,9.7,5.8,0.1,2.6,81.8,76.9,63.3,41496,47081.0,356100.0,2.42,79880,44799,10.4,720.7,11.7,80.2,786381.0,22.0,52.1,6705.0,112395,98970,137.3,230570.0,1497509.0,11062,3967,5716,1236,9370,1306,8936,Albemarle
Alcona County,MI,36.1,12.6,3.0,16.9,89.3,638.0,0.7,0.4,0.5,1.6,0.1,1.4,96.8,95.3,88.8,4988,11241.0,112000.0,2.05,40484,25636,1.1,674.59,2.2,90.8,27534.0,25.8,49.7,1325.0,10167,10942,16.2,3930.0,52481.0,933,278,525,0,907,43,873,Alcona
Alcorn County,MS,18.8,22.5,5.8,17.1,81.3,2466.0,0.4,0.4,12.4,3.2,0.0,1.3,85.5,82.7,68.7,14649,17330.0,102700.0,2.49,42086,23909,1.4,400.04,2.7,87.3,1092673.0,22.4,51.3,1759.0,34740,37057,92.6,55345.0,537985.0,3200,1051,1556,265,2726,286,2538,Alcorn
Aleutians East Borough,AK,10.5,7.6,2.0,11.5,85.5,216.0,20.2,43.4,10.2,14.8,1.2,3.9,21.1,9.1,63.8,890,755.0,119900.0,2.61,69250,33939,27.1,6981.94,33.8,83.6,104944.0,5.2,32.5,144.0,3420,3141,0.4,14821.0,68485.5,300,28,208,220,47,0,278,Aleutians East
Aleutians West Census Area,AK,7.4,11.4,3.3,17.0,89.5,216.0,12.1,40.1,7.1,14.0,2.5,4.3,33.9,23.6,28.2,1187,1966.0,279200.0,3.74,87466,39647,41.6,4390.28,58.2,80.3,598515.0,8.0,34.0,283.0,5232,5561,1.3,14236.0,53426.0,343,66,229,157,156,0,297,Aleutians West
Alexander County,IL,23.1,22.2,5.5,12.9,86.5,255.0,0.5,0.3,31.8,1.9,0.2,2.4,64.9,63.7,73.7,2154,3962.0,56000.0,2.85,36806,19519,0.3,235.51,0.8,89.8,741144.5,30.3,51.4,496.0,5240,8238,35.0,2164.0,24207.0,523,276,154,202,295,86,411,Alexander
Alexander County,NC,20.4,19.9,5.0,14.2,82.4,2371.0,0.5,1.0,5.9,4.8,0.1,1.7,90.8,86.7,75.7,14169,16609.0,136500.0,2.53,48756,26688,3.3,259.99,6.0,90.3,591468.0,24.5,49.0,2052.0,36444,37198,143.1,75439.0,194767.0,2907,630,2028,99,2742,451,2326,Alexander
Alexandria city,VA,11.3,18.2,7.1,63.1,93.0,1479.0,0.2,5.9,21.8,16.7,0.0,5.3,62.2,51.9,43.3,70598,11797.5,572900.0,2.21,100939,62679,27.2,15.03,33.5,79.0,273047.0,31.9,51.8,11220.0,159467,139966,9314.3,647469.0,2416013.0,17540,6882,9252,6304,10316,1777,14805,Alexandria
Alfalfa County,OK,20.3,19.4,4.7,21.8,85.2,385.0,4.2,0.4,4.7,6.0,0.1,3.1,87.4,83.1,80.2,1870,2714.0,85700.0,2.53,61852,27615,3.4,866.46,5.5,86.5,460737.5,20.2,40.3,529.0,5699,5642,6.5,3061.0,57139.0,518,136,234,45,454,38,430,Alfalfa
Alger County,MI,26.3,15.0,3.8,17.4,89.9,570.0,4.5,0.5,7.3,1.7,0.0,3.1,84.7,83.4,84.0,3007,6718.0,136200.0,2.7,45570,20851,1.0,915.07,1.5,84.5,729708.0,25.3,44.7,843.0,8842,9601,10.5,16755.0,64637.0,806,243,323,62,674,52,646,Alger
Allamakee County,IA,23.5,23.5,7.0,17.8,88.3,1143.0,0.7,0.5,1.6,7.1,0.3,0.8,96.1,90.0,79.3,5953,7857.0,130400.0,2.27,52216,27892,5.3,639.08,11.3,89.2,262089.0,23.3,49.0,898.0,14061,14330,22.4,9701.0,144626.0,1300,492,594,0,1241,57,1181,Allamakee
Allegan County,MI,17.0,23.8,6.1,22.6,90.9,8324.0,0.7,0.9,1.6,7.5,0.0,1.9,94.9,88.1,82.6,43416,51987.0,165400.0,2.65,62965,29215,3.2,825.23,6.0,91.0,5286560.0,23.9,50.0,4913.0,120502,111408,135.0,131893.0,949923.0,9835,2942,5366,523,9078,691,8681,Allegan
Allegany County,MD,20.6,17.3,4.5,18.9,90.2,2937.0,0.2,1.1,8.3,1.9,0.1,2.1,88.2,86.7,68.8,27399,32737.0,120700.0,2.31,45893,23607,1.9,424.16,4.0,84.6,1377488.5,21.8,47.9,5018.0,68106,75087,177.0,390891.0,922837.0,4323,1373,2398,311,3738,417,3600,Allegany
Allegany County,NY,19.6,20.1,5.3,20.9,90.8,2526.0,0.3,1.3,1.4,1.7,0.0,1.4,95.6,94.3,76.2,17948,26419.0,76400.0,2.33,48412,24857,2.5,1029.31,4.9,87.8,841770.0,22.0,49.2,3454.0,46456,48946,47.6,50027.0,271076.0,2710,920,1454,185,2427,244,2298,Allegany
Alleghany County,NC,28.0,17.0,4.6,17.3,77.5,954.0,0.5,0.8,1.8,9.9,0.0,1.4,95.4,86.7,76.3,4920,8215.0,139800.0,2.21,37830,23267,5.8,235.06,7.6,92.0,1006562.0,24.3,50.4,855.0,10888,11155,47.5,10835.0,67890.0,1132,280,707,123,953,71,982,Alleghany
Alleghany County,VA,25.5,18.3,4.4,15.0,86.0,644.0,0.3,0.3,4.7,1.6,0.1,1.9,92.8,91.4,76.2,6600,8010.0,119700.0,2.24,47673,27338,1.3,445.46,1.8,91.3,476138.5,25.6,51.1,1042.0,15223,16250,36.5,14048.0,75144.0,893,189,596,38,821,104,754,Alleghany
Allegheny County,PA,19.3,18.6,5.2,41.6,94.6,85700.0,0.2,4.2,13.4,2.3,0.0,2.3,79.9,78.1,64.3,541541,604258.0,154700.0,2.19,61043,38709,5.9,730.08,7.5,85.9,16279472.0,27.2,51.6,73723.0,1250578,1223348,1675.6,2940576.0,20553747.0,96501,30671,56123,12104,80217,9916,81176,Allegheny
Allen County,IN,14.9,25.6,7.0,28.5,89.4,24346.0,0.5,4.6,12.0,7.7,0.1,3.2,79.6,73.1,68.4,145065,160687.0,129300.0,2.53,54857,29160,6.7,657.31,11.1,84.9,16200141.0,21.6,51.1,20041.0,385410,355329,540.6,643110.0,5197668.0,28567,9538,15557,4632,22737,2880,24199,Allen
Allen County,KS,21.0,22.2,5.5,20.3,91.9,804.0,1.0,1.2,2.2,3.8,0.0,3.0,92.5,89.5,70.8,5372,6342.0,79300.0,2.26,45333,23734,1.3,500.3,2.4,86.1,470897.0,17.8,50.8,852.0,12526,13371,26.7,13195.0,152787.0,1497,349,672,97,1352,55,1291,Allen
Allen County,KY,18.1,23.0,6.0,16.1,82.1,1504.0,0.3,0.3,1.3,2.4,0.0,1.4,96.7,94.6,74.9,7605,9526.0,120600.0,2.72,44036,22294,1.9,344.34,6.4,89.8,559741.0,25.3,50.4,1046.0,20588,19956,58.0,35974.5,111261.0,1242,334,765,0,1201,104,1082,Allen
Allen County,OH,18.1,23.0,6.1,18.9,90.3,5363.0,0.3,0.8,12.5,3.3,0.0,3.1,83.2,80.6,67.1,40650,45188.0,118100.0,2.44,53131,26761,1.5,402.5,3.1,85.4,15270393.0,19.7,49.5,6474.0,102206,106331,264.2,211325.0,1641522.0,7252,2179,3945,616,6112,785,5877,Allen
Allen Parish,LA,15.2,22.4,6.2,11.3,79.7,1169.0,2.3,0.6,22.7,2.3,0.0,1.9,72.4,70.9,74.5,7925,10052.0,97500.0,2.69,46446,20964,4.4,761.85,9.9,83.6,1901186.0,28.0,43.5,1272.0,22750,25764,33.8,61451.5,157559.0,1170,409,654,196,924,180,939,Allen
Allendale County,SC,20.9,19.0,4.9,9.2,79.8,438.0,0.4,0.9,72.8,3.7,0.1,0.9,24.9,22.3,68.2,3365,4518.0,49200.0,2.35,27185,16985,1.7,408.09,4.0,90.1,446954.0,28.6,48.0,540.0,8039,10419,25.5,65913.0,33904.0,672,279,334,441,206,66,572,Allendale
Alpena County,MI,23.9,18.7,4.9,18.0,91.9,1875.0,0.6,0.6,0.5,1.5,0.0,1.3,96.8,95.5,77.9,12752,16076.0,96500.0,2.19,43363,25957,1.3,571.86,3.0,86.7,480301.0,16.7,50.6,2555.0,28907,29598,51.8,35141.0,448820.0,2322,799,1078,37,2130,190,1787,Alpena
Alpine County,CA,26.4,17.7,4.3,34.5,91.2,105.0,25.7,1.6,0.4,12.3,-1.0,4.4,67.9,61.3,84.0,350,1782.0,365300.0,2.87,63750,36739,5.1,738.33,9.7,90.9,2696230.0,18.1,46.1,79.0,1204,1175,1.6,378595.0,576.0,125,49,0,0,115,0,116,Alpine
Amador County,CA,27.5,15.1,4.1,19.3,90.0,2835.0,2.3,1.7,2.7,14.5,0.3,3.4,89.6,77.3,76.5,14594,18625.0,313700.0,2.38,62772,31987,6.0,594.58,10.6,87.7,139631.0,32.7,45.6,3810.0,40474,38091,64.1,242022.0,321498.0,2807,921,1383,259,2453,258,2363,Amador
Amelia County,VA,20.1,20.8,5.5,17.1,83.9,870.0,0.6,0.6,20.4,3.2,0.0,1.8,76.5,74.0,84.4,4954,5677.0,201400.0,2.59,57946,31688,1.2,355.27,3.8,89.8,98420.0,39.9,50.7,980.0,13265,12690,35.7,5047.0,71057.0,893,335,444,159,695,69,778,Amelia
Amherst County,VA,21.6,19.3,5.2,19.1,85.6,1599.0,0.9,0.6,19.1,2.4,0.0,2.5,76.9,74.9,77.1,12160,14266.0,155600.0,2.52,52888,26712,1.8,473.93,2.8,87.4,572023.0,27.3,51.4,2565.0,31307,32353,68.3,44317.0,273370.0,2117,810,1094,397,1634,185,1819,Amherst
Amite County,MS,24.1,20.3,5.3,12.6,81.9,815.0,0.4,0.2,40.0,1.3,0.0,0.9,58.6,57.9,84.9,5218,6864.0,83600.0,2.36,33981,21568,0.4,730.1,1.0,95.9,48296.0,39.9,51.7,698.0,12720,13131,18.0,1429.0,39229.0,823,301,432,314,491,107,691,Amite
Anchorage Municipality,AK,11.7,24.0,6.9,36.1,93.9,20976.0,9.1,10.0,6.0,9.4,2.8,8.4,63.8,57.1,61.3,106567,119276.0,314800.0,2.69,84928,41415,10.9,1704.68,17.8,80.2,479841.0,18.9,49.1,26958.0,291247,291826,171.2,1106192.0,4966800.0,26033,9530,12937,5351,19271,3291,21070,Anchorage
Anderson County,KS,21.5,25.7,6.7,18.1,91.0,622.0,0.7,0.7,0.6,2.1,0.0,1.9,96.0,94.1,74.4,3101,3755.0,95700.0,2.49,50213,24309,0.7,579.65,2.2,87.5,328053.5,26.1,50.3,564.0,7836,8102,14.0,13223.0,92144.0,575,177,238,0,545,89,440,Anderson
Anderson County,KY,16.3,23.5,6.1,20.2,89.9,1526.0,0.3,0.7,2.1,1.9,0.0,1.8,95.1,93.4,76.1,8694,9539.0,149800.0,2.57,55334,27250,1.1,201.83,2.2,84.3,746489.0,26.6,51.0,1180.0,23852,21421,106.1,20408.0,188884.0,1461,446,685,71,1331,214,1160,Anderson
Anderson County,SC,18.3,22.7,5.9,22.2,85.3,13025.0,0.3,1.0,16.3,4.0,0.0,1.8,80.5,77.1,71.7,76798,89884.0,145800.0,2.55,50865,27552,3.1,715.43,4.5,86.3,5435031.0,24.0,51.9,14043.0,203718,187126,261.6,272197.0,2189557.0,15115,4881,8655,2363,12272,2099,11969,Anderson
Anderson County,TN,20.3,21.2,5.4,23.3,87.0,4810.0,0.5,1.5,4.1,3.2,0.1,2.3,91.6,88.9,67.9,30541,35143.0,146200.0,2.45,50392,28455,3.5,337.16,4.8,85.1,2223993.0,24.7,51.3,6027.0,77123,75129,222.8,127115.0,916100.0,5799,1831,3175,266,5211,717,4618,Anderson
Anderson County,TX,15.0,19.0,5.1,10.6,81.3,3021.0,0.7,0.9,21.9,18.2,0.2,1.7,74.5,58.3,69.6,16677,20632.0,101900.0,2.66,43455,17280,5.9,1062.6,14.8,84.8,575658.0,23.4,38.6,4049.0,57922,58458,55.0,33330.5,572105.0,3107,1009,1602,722,2209,428,2471,Anderson
Andrew County,MO,19.4,22.9,5.8,24.9,91.7,1279.0,0.3,0.6,1.2,2.7,0.0,1.6,96.3,93.9,79.9,6763,7319.0,147900.0,2.56,58772,29338,1.2,432.7,2.4,92.1,2257.0,24.1,50.5,1140.0,18135,17291,40.0,4517.0,103752.0,1339,357,819,0,1299,125,1156,Andrew
Andrews County,TX,9.8,31.0,8.4,12.2,72.3,1449.0,1.5,0.7,2.0,56.6,0.0,1.5,94.3,39.9,74.1,5573,6354.0,143900.0,3.22,76158,30673,15.2,1500.71,43.7,82.8,135898.0,23.6,48.8,674.0,18610,14786,9.9,21390.0,169819.0,1324,400,695,469,726,143,1075,Andrews
Androscoggin County,ME,18.2,21.5,5.8,22.8,90.2,6622.0,0.4,0.9,4.5,1.9,0.0,2.4,91.7,90.2,64.3,45630,50310.0,158200.0,2.29,53509,28956,3.5,467.93,10.4,84.3,1886855.0,24.1,51.0,8516.0,111139,107702,230.2,153320.0,1818065.0,7493,2451,3963,310,6794,661,6261,Androscoggin
Angelina County,TX,16.6,25.4,6.7,16.9,81.9,5782.0,0.8,1.1,15.7,22.7,0.1,1.4,81.0,59.9,66.2,31035,37250.0,107600.0,2.72,50453,23147,8.5,797.78,18.5,83.4,1451559.0,20.6,51.2,5728.0,86395,86771,108.8,141533.0,1274727.0,6330,1922,3487,1358,4707,709,5020,Angelina
Anne Arundel County,MD,15.0,22.3,6.1,41.7,92.4,44895.0,0.4,4.2,18.3,8.4,0.1,3.3,73.6,66.7,74.2,209814,227936.0,361200.0,2.64,100798,46629,8.4,414.9,11.4,85.2,4456881.0,31.4,50.5,51093.0,588261,537656,1295.9,1564002.0,8758765.0,46997,17089,25348,9994,35336,5547,39219,Anne Arundel
Anoka County,MN,14.5,23.7,6.2,30.5,94.0,23918.0,0.9,5.0,7.4,4.9,0.1,2.9,83.8,79.7,80.1,128198,134681.0,232400.0,2.71,82175,36978,8.8,423.01,11.5,88.6,6716221.0,27.8,50.0,19625.0,363887,330844,782.1,434033.0,3982068.0,27369,8653,15229,2680,24081,2991,23013,Anoka
Anson County,NC,19.3,19.8,5.3,11.3,80.7,1292.0,0.9,1.5,48.5,4.1,0.1,1.7,47.4,44.3,66.1,9521,11668.0,91200.0,2.42,40213,21635,2.9,531.45,5.3,89.4,393255.0,26.7,48.7,1465.0,22055,26948,50.7,16822.0,181255.0,1531,598,726,598,875,159,1288,Anson
Antelope County,NE,24.1,23.6,6.6,18.4,93.0,703.0,0.5,0.5,0.4,3.4,-1.0,0.7,97.9,94.9,75.5,2714,3336.0,82000.0,2.31,49912,26523,2.0,857.22,4.1,90.2,231681.5,15.1,49.5,494.0,6295,6685,7.8,4370.0,70221.0,854,242,364,26,799,91,693,Antelope
Antrim County,MI,28.0,17.7,4.2,28.8,91.7,2153.0,1.3,0.3,0.4,2.5,0.1,1.5,96.5,94.4,87.1,9899,18193.0,160500.0,2.32,56165,31851,1.8,475.7,2.3,89.1,174994.0,24.6,50.2,2004.0,23431,23580,49.6,42618.0,169645.0,2534,682,1313,32,2440,121,2116,Antrim
Apache County,AZ,15.8,27.0,6.7,12.3,80.4,2599.0,75.0,0.5,0.6,6.6,0.1,1.6,22.3,18.0,78.9,20867,33023.0,59900.0,3.37,32508,15128,1.4,11197.52,53.8,93.8,884322.0,26.9,50.6,3079.0,66021,71518,6.4,47069.0,324317.0,2787,1131,1251,1687,974,234,2314,Apache
Appanoose County,IA,22.9,22.6,5.6,16.3,90.2,883.0,0.3,0.7,0.9,2.2,0.1,1.6,96.4,94.6,71.0,5353,6646.0,81400.0,2.3,40167,26012,0.9,497.29,2.9,87.6,303261.0,21.0,50.5,887.0,12317,12887,25.9,16538.0,138799.0,1388,495,549,27,1313,112,1156,Appanoose
Appling County,GA,17.7,24.5,6.4,9.8,74.9,1197.0,0.6,0.8,19.6,10.0,0.2,1.6,77.2,68.7,76.4,6656,8613.0,80200.0,2.69,40304,21300,5.0,507.08,10.6,93.7,407343.0,22.9,50.2,907.0,18444,18236,36.0,18846.0,211266.0,1392,387,809,298,1049,187,1134,Appling
Appomattox County,VA,21.2,21.0,5.8,20.9,85.9,959.0,0.3,0.4,18.5,1.9,0.1,2.0,78.7,77.1,77.8,6091,7424.0,158800.0,2.57,58696,28586,1.2,333.49,1.7,94.6,476138.5,29.5,51.5,1407.0,16119,14973,44.9,44317.0,143824.0,962,253,616,117,796,80,806,Appomattox
Aransas County,TX,28.9,17.7,4.7,21.9,84.5,2694.0,1.3,2.1,1.7,27.9,0.1,1.9,92.9,66.8,80.2,9548,16238.0,156800.0,2.52,45137,30863,8.7,252.07,19.9,84.9,575658.0,20.8,50.5,2414.0,23830,23158,91.9,50540.0,288881.0,2712,859,1510,778,1835,341,2281,Aransas
Arapahoe County,CO,13.5,23.3,6.1,42.8,92.6,62543.0,1.2,6.6,11.5,19.8,0.3,4.0,76.5,59.4,63.5,240304,257325.0,358200.0,2.66,77469,40443,15.1,798.1,23.4,81.8,1672601.0,28.1,50.4,39149.0,655070,572003,716.7,1235569.0,9404716.0,61297,22462,31732,13912,44785,6119,52103,Arapahoe
